model,tier,cv_mae,cv_rmse,cv_mape,cv_smape,holdout_mae,holdout_rmse,holdout_mape,holdout_smape
naive_seasonal_24h,Baseline,18.58756291946309,26.59628681958923,172.49392123227813,84.76570149646268,11.367170022371365,16.904503611263863,78.78054059229025,70.2279368378542
lightgbm_raw,LightGBM on raw demand,14.31302238286186,18.786759391218553,139.92302627832436,86.4275598461539,11.378988940715388,15.653094498868388,78.8247564402706,87.36323040367286
lightgbm_residual,LightGBM on naive residuals,15.700645180249804,22.53341184922153,169.23618423830644,89.03230597921085,11.89953476460525,17.15348711223278,86.51384749693253,87.97507991804325
